PomBaseIDs,medium,replicate,proteome_fraction
SPBC11C11.06c,Glu,1,1.0552772421358535e-4
SPBC1734.11,Glu,1,8.985983453950303e-4
SPBC15D4.15,Glu,1,9.047317113535203e-4
SPAC3G9.09c,Glu,1,3.465277631768303e-4
SPBC1539.06,Glu,1,2.6282976854294333e-4
SPBC18H10.02,Glu,1,7.569219151645209e-4
SPBC4F6.05c,Glu,1,9.467591690547991e-5
SPBC1711.06,Glu,1,0.0013001001500711324
SPBC21C3.13,Glu,1,6.726984228341326e-4
SPBP8B7.18c,Glu,1,7.336448631067833e-4
SPBC1773.03c,Glu,1,2.047262816466854e-5
SPBP19A11.03c,Glu,1,4.344090194809113e-4
SPBC16D10.08c,Glu,1,5.110482776896976e-4
SPBC405.01,Glu,1,4.643966045216417e-4
SPBC56F2.02,Glu,1,0.0011858516515339227
SPBC725.01,Glu,1,2.95892697635223e-4
SPAC57A7.12,Glu,1,9.593105462692437e-4
SPBC902.05c,Glu,1,3.598559058585834e-4
SPAC4D7.05,Glu,1,5.041034536376896e-4
SPBC839.05c,Glu,1,7.734960948191668e-4
SPAC30C2.04,Glu,1,6.110715360521229e-4
SPBC418.01c,Glu,1,5.534673300344367e-4
SPCC5E4.07,Glu,1,9.479050057938968e-4
SPBC9B6.08,Glu,1,2.694158683564259e-4
SPBP4H10.13;SPAC23C11.02c,Glu,1,9.610940666972496e-4
SPCC306.08c,Glu,1,6.113478836381225e-4
SPAC1635.01,Glu,1,7.117753025952425e-4
SPBC106.03,Glu,1,1.8977615926545475e-4
SPAC694.02,Glu,1,5.052273903856388e-4
SPAC1B3.03c,Glu,1,7.643049536390764e-4
SPBC685.06,Glu,1,9.298283453190944e-4
SPBC839.17c,Glu,1,4.338217000212093e-4
SPBC30D10.05c,Glu,1,4.624034682258507e-4
SPAC27E2.03c,Glu,1,6.05251503812792e-4
SPAC3G9.06,Glu,1,4.1424289458500806e-4
SPAC57A7.10c,Glu,1,5.08809824906941e-4
SPBC16A3.15c,Glu,1,6.46610227974709e-4
SPAC4F10.14c,Glu,1,8.294701736872855e-4
SPBC1677.03c,Glu,1,5.481340033884035e-4
SPCC338.14,Glu,1,0.0010220892714946765
SPAC8E11.10,Glu,1,9.933060247049035e-4
SPBC31F10.06c,Glu,1,4.5662356610767725e-4
SPAC16.02c,Glu,1,5.06272215311541e-4
SPBC12C2.12c,Glu,1,1.595884557425518e-4
SPBC146.13c,Glu,1,3.483939431954469e-4
SPBC17A3.04c,Glu,1,4.6124804951140364e-4
SPAC139.02c,Glu,1,2.1560887645205104e-4
SPBC3D6.02,Glu,1,8.1094107521322e-4
SPBC646.05c,Glu,1,4.1149153297538604e-4
SPAC13A11.02c,Glu,1,4.357063251861115e-4
SPAC6G10.09,Glu,1,3.0579883377330114e-4
SPBC16A3.02c,Glu,1,1.0481736702334029e-4
SPBP23A10.15c,Glu,1,6.40708828325918e-4
SPAC23H3.09c,Glu,1,4.3063502212509355e-4
SPBC17D11.07c,Glu,1,3.4930777237172255e-4
SPCC1183.02,Glu,1,3.1528345175272813e-4
SPCC285.15c;SPAC25G10.06,Glu,1,9.458803200264979e-4
SPBC32F12.03c,Glu,1,2.46981671352269e-4
SPCC18B5.01c,Glu,1,4.608687624662871e-4
SPCC1393.03,Glu,1,6.324545780678624e-4
SPBC16C6.13c,Glu,1,3.873004433922675e-4
SPAC11E3.07,Glu,1,4.921086435550157e-4
SPBC1778.01c,Glu,1,3.979782925318525e-4
SPAPB8E5.02c;SPAC1420.03,Glu,1,3.097099373413035e-4
SPBC31A8.01c,Glu,1,6.546890603704127e-4
SPAC17H9.14c,Glu,1,5.221389647475117e-4
SPAC1296.02,Glu,1,1.9109845436233563e-4
SPBPJ4664.04,Glu,1,4.7406368839695195e-4
SPBP4H10.04,Glu,1,2.68043850745583e-5
SPAC31G5.14,Glu,1,5.647229391600778e-4
SPAC4F10.20,Glu,1,5.559131947681435e-4
SPAC4A8.15c,Glu,1,6.846274966906168e-4
SPAC32A11.04c,Glu,1,4.730296747061198e-4
SPAC14C4.11,Glu,1,2.7058246908401074e-4
SPBC26H8.03,Glu,1,5.461251079829914e-4
SPAC10F6.09c,Glu,1,6.730108214825077e-5
SPAPB17E12.13,Glu,1,5.294370647089435e-4
SPBP4H10.15,Glu,1,6.804121317568932e-4
SPAC31G5.05c,Glu,1,4.86230755269353e-4
SPCC364.06,Glu,1,4.6748972450215057e-4
SPACUNK4.07c,Glu,1,3.2168879163280097e-4
SPAC23A1.08c;SPCC1322.15,Glu,1,0.0010829852312793202
SPBC16H5.08c,Glu,1,6.028244767550851e-4
SPAC17C9.03,Glu,1,4.8324152690337193e-4
SPAC1B3.16c,Glu,1,5.3430687626718533e-005
SPAP8A3.04c,Glu,1,7.286374302973687e-5
SPCC970.05;SPBC405.07,Glu,1,0.002207902853480092
SPAC1D4.04,Glu,1,4.958580761346293e-4
SPAC458.02c,Glu,1,3.774721702316996e-4
SPCC757.07c,Glu,1,1.0191097438630346e-4
SPBC646.10c,Glu,1,3.6265730458931634e-4
SPCC1235.14,Glu,1,4.918965695844871e-4
SPAC23G3.06,Glu,1,4.5787753853257615e-4
SPBC725.09c,Glu,1,1.5695209117146436e-4
SPCC1450.13c,Glu,1,8.342324646062845e-5
SPAC1F7.05,Glu,1,4.7179379198393294e-4
SPACUNK4.16c,Glu,1,3.3284961149962326e-4
SPAC11H11.06,Glu,1,2.9151619675361255e-4
SPCC613.06,Glu,1,4.0556705866319134e-4
SPCC584.04;REV__SPCC584.04,Glu,1,4.053712863433538e-4
SPCC1840.02c,Glu,1,4.559301886194513e-4
SPAC18G6.04c,Glu,1,2.7072016334070995e-4
SPBC1A4.08c,Glu,1,4.416305311446587e-4
SPBC8D2.20c,Glu,1,4.5132364407368474e-4
SPBC18E5.02c,Glu,1,2.452153626438458e-4
SPAC3H8.10,Glu,1,2.4232509968614857e-4
SPBC646.16,Glu,1,2.2670445304666663e-4
SPCC1223.14,Glu,1,2.92533889625636e-4
SPBC12C2.04,Glu,1,3.196548797503245e-4
SPBC146.14c,Glu,1,4.215933768450792e-4
SPAC1039.10,Glu,1,7.10232564144276e-7
SPBC365.14c,Glu,1,3.5093305623798996e-4
SPAC4D7.08c,Glu,1,2.677141316193924e-4
SPBC106.06,Glu,1,3.944620505212804e-4
SPAC23C4.02,Glu,1,4.161108805736687e-4
SPAC19G12.10c,Glu,1,3.8507030957258436e-4
SPAC3A12.14,Glu,1,9.876789541559808e-5
SPAC1805.11c,Glu,1,0.0014694254762217898
SPAC1A6.04c,Glu,1,0.0016957248061008955
SPBC19F5.04,Glu,1,4.471206150737832e-4
SPCC1450.07c,Glu,1,2.749870013375778e-5
SPBC530.14c,Glu,1,5.79023308772112e-6
SPAC31G5.16c,Glu,1,2.0147775840225024e-4
SPBC342.02,Glu,1,2.264375345077731e-4
SPAC1782.11,Glu,1,7.725896682865997e-4
SPCC1753.04,Glu,1,3.0263697942297833e-4
SPAC18G6.05c,Glu,1,3.3043297606188867e-4
SPAC2G11.07c,Glu,1,3.336791392943391e-4
SPAC4G9.12,Glu,1,3.194855248469349e-4
SPCC1281.06c,Glu,1,4.130115422057652e-4
SPAC140.01,Glu,1,5.246800929426006e-4
SPBC14F5.03c,Glu,1,4.03868349655355e-4
SPCC1442.09,Glu,1,2.8310608011323976e-4
SPBC646.13,Glu,1,2.6281381483525806e-4
SPBC16C6.08c,Glu,1,2.859428611057203e-4
SPAC3C7.08c,Glu,1,3.445633832245425e-4
SPCC1906.01,Glu,1,7.473341935468821e-4
SPBC8E4.04,Glu,1,3.3419475165919393e-4
SPAC1687.04,Glu,1,3.7410715300207866e-4
SPAC1142.02c,Glu,1,3.998820308102716e-4
SPBC18H10.04c,Glu,1,4.2454215631577177e-4
SPAC9E9.13,Glu,1,4.847468096022955e-4
SPAC2E1P3.04,Glu,1,1.1057262527598909e-4
SPAC1142.01,Glu,1,5.660859940091121e-5
SPBC14C8.04,Glu,1,3.21892635396975e-4
SPAC29A4.04c,Glu,1,2.6614550537540355e-4
SPBC354.12,Glu,1,3.588481479052936e-4
SPAC637.07,Glu,1,4.300808935112504e-4
SPAC1805.02c,Glu,1,1.3309555816406153e-4
SPBC18E5.07,Glu,1,3.63387288181934e-4
SPCC965.06,Glu,1,7.205850228186807e-5
SPBC9B6.04c,Glu,1,4.889727349187666e-4
SPCC11E10.01,Glu,1,1.9675287198141388e-4
SPAC24H6.10c,Glu,1,4.655420078946005e-4
SPAC8C9.04,Glu,1,2.882164552986588e-4
SPCC338.10c,Glu,1,1.0728582771754654e-4
SPAC22F8.08,Glu,1,3.0579532767455837e-4
SPBC17A3.07,Glu,1,4.0087649567394984e-4
SPBC16E9.05,Glu,1,4.220397018815948e-4
SPCC1322.14c,Glu,1,2.7438559256132367e-4
SPAC630.03,Glu,1,3.7314983845065496e-4
SPBC2G2.12,Glu,1,4.00322597494217e-4
